Links,Brand,Name,Ingredients
https://www.target.com/c/textured-hair-care/leave-in-conditioners/-/N-4rsrfZcrx6h?type=products&Nao=0,African Pride,African Pride Olive Miracle Anti-Breakage Leave -In Conditioner CRèME - 15oz,"Water, Glycine Soja Oil/Soybean Oil, Hydrogenated Vegetable Oil, Propylene Glycol, Olea Europaea Fruit Oil/Olive Oil, Butyrospermum Parkii/Shea Butter, Cocos Nucifera Oil/Coconut Oil, Simmondsia Chinensis Seed Oil/Jojoba Oil, Persea Gratissima Oil/Avocado Oil, Hydrolyzed Glycine Soja Protein/Hydrolyzed Soy Protein, Panax Ginseng Root Extract, Rosmarinus Officinalis Leaf Extract/Rosemary Extract, Equisetum Hiemale Extract/Horsetail Extract, Melaleuca Alternifolia Leaf Oil/Tea Tree Oil, Polyquaternium-37, Propylene Glycol Dicaprylate/Dicaprate, Ppg-1 Trideceth-6, Steareth-2, Steareth-20, Glycerin, Dimethicone, Phenyl Trimethicone, Acrylamidopropyltrimonium Chloride/Acrylates Copolymer, Phenoxyethanol, Ethylhexylglycerin, Polysorbate-20, Ci 19140/Yellow 5, Parfum Benzyl Benzoate, D-Limonene, Linalool."
https://www.target.com/c/textured-hair-care/leave-in-conditioners/-/N-4rsrfZcrx6h?type=products&Nao=0, collection,SheaMoisture Jamaican Black Castor Oil Strengthen & Growth Leave-In Conditioner - 3.2 fl oz,No Info
https://www.target.com/c/textured-hair-care/leave-in-conditioners/-/N-4rsrfZcrx6h?type=products&Nao=0,Mielle Organics,Mielle Organics Leave-In Conditioner White Peony - 8 fl oz,"Ingredients: Water (Aqua, Eau), Glycerin, Amodimethicone, Cetearyl Alcohol, Stearalkonium Chloride, Phenoxyethanol, Cocos Nucifera (Coconut) Oil, Polysorbate 60, Cetrimonium Chloride, Cetyl Alcohol, Fragrance (Parfum), Hydroxypropyl Guar, Aloe Barbadensis Leaf Juice (Decolorized), Argania Spinosa (Argan) Kernel Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Gluconolactone, Silk Amino Acids, *Camellia Sinensis (White Peony) Tea Extract, *Camellia Oleifera (Green Tea) Leaf Extract, *Mentha Piperita (Peppermint) Extract, *Yucca Vera Leaf/Root Extract, *Equisetum Arvense (Horsetail) Extract, *Nettle Dioica (Nettle) Leaf, *Melissa Officinalis Leaf Extract, *Citrus Grandis (Grapefruit) Seed Extract, *Leuconostoc/Sorbus Aucuparia Fruit Ferment Filtrate, Trideceth-12, Benzoic Acid, Ethylhexylglycerin, Glycereth-2 Cocoate * Certified Organic Ingredient"
https://www.target.com/c/textured-hair-care/leave-in-conditioners/-/N-4rsrfZcrx6h?type=products&Nao=0,Mielle Organics,Mielle Organics Pomegranate & Honey Leave-In Conditioner - 12 fl oz,"Water (Aqua, Eau), Behentrimonium Methosulfate, Cetyl Alcohol, Butylene Glycol, Cetyl Alcohol, Glycerin, *Orbignya Oleifera (Babassu) Oil, *Mauritia Flexuosa (Buriti) Fruit Oil, *Copaiferi Officinalis (Balsam Copaiba) Resin, *Astrocaryum Murumuru Seed Butter, Vaccinium Myrtillus Fruit Extract, Saccharum Officinarum (Sugar Cane) Extract, Acer Saccharinum (Sugar Maple) Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Citrus Medica Limonum (Lemon) Fruit Extract, Punica Granatum (Pomegranate) Extract, Betaine, Hexylene Glycol, Honey (Mel, Miel), Pyrus Malus (Apple) Fruit Extract, Camellia Sinensis Leaf Extract, Hexapeptide-11, Citric Acid, Fragrance (Parfum), Phenoxyethanol, Benzoic Acid, Ethylhexylglycerin, Glycereth-2 Cocoate, Caramel, Brown 1"
https://www.target.com/c/textured-hair-care/leave-in-conditioners/-/N-4rsrfZcrx6h?type=products&Nao=0,TGIN,TGIN Green Tea Super Moist Leave In Conditioner With Green Tea and Argan Oil - 13 fl oz,"Water Infused With Behentrimonium Methosulfate, Camellia Cinensis (Green Tea) Leaf Extract, Aloe Barbedensis Leaf Juice Theobroma Cacao (Cocoa) Seed Butter, Butyrospermum Parkii (Shea Butter), Argania Spinosa (Moroccan Argan) Kernel Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Ricinus Communis (Castor) Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Theobroma Grandiflorum (Cupuacu) Seed Butter, Honey, Hypericum Perforatum (St. John'S Wort) Flower, Tocopheryl Acetate (Vitamin E), Pro Vitamin B5, Propanediol, Cetearyl Alcohol, Cetyl Alcohol, Phenoxyethanol, Caprylyl Glycol, Disodium Edta, Rosemary Extract, Fragrance (Parfum)."
https://www.target.com/c/textured-hair-care/leave-in-conditioners/-/N-4rsrfZcrx6h?type=products&Nao=0,TPH,TPH by TARAJI Mint Condition Tingling Scalp Conditioner - 8 fl oz,"Water (Aqua/Eau), Cetearyl Alcohol, Behentrimonium Chloride, Isopropyl Palmitate, Glycerin, Fragrance (Parfum), Polysorbate 60, Isododecane, Neopentyl Glycol Diheptanoate, Menthol, Guar Hydroxypropyltrimonium Chloride, Polyquaternium-37, Dicetyldimonium Chloride, Dicaprylyl Carbonate, Cocoglucosides Hydroxypropyltrimonium Chloride, Sodium Benzoate, Cetrimonium Chloride, Capryloyl Glycerin/Sebacic Acid Copolymer, Diheptyl Succinate, Menthoxypropanediol, Potassium Sorbate, Citric Acid, Persea Gratissima (Avocado) Oil, Panthenol, Butyrospermum Parkii (Shea) Butter, Disodium Edta, Lauryl Glucoside, Eucalyptus Globulus Leaf Oil, Aloe Barbadensis Leaf Juice, Mentha Piperita (Peppermint) Oil, Limonene, Coumarin, Citronellol, Geraniol, Linalool, Benzyl Benzoate."
https://www.target.com/c/textured-hair-care/leave-in-conditioners/-/N-4rsrfZcrx6h?type=products&Nao=0,Cantu,Cantu Hydrating Leave-in Conditioning Mist - 8 fl oz,"Water, Glycerin, Peg-75 Lanolin, Dicetyldimonium Chloride, Polysorbate 60, Butyrospermum Parkii (Shea Butter), Peg Hydrogenated Castor Oil, Oleth-10, Hydrolyzed Keratin, Panthenol, Cocos Nucifera (Coconut) Oil, Panthenol, Aloe Barbadensis (Aloe Vera) Leaf Juice, Simmondsia Chinensis (Jojoba) Oil, Glycine Soja (Soybean) Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Persea Gratissima (Avocado) Oil, Olea Europaea (Olive) Fruit Oil, Mangifera Indica (Mango) Seed Butter, Argania Spinosa (Argan) Kernel Oil, Melia Azadirachta (Neem) Seed Oil, Daucus Carota Sativa (Carrot) Seed Oil, Mangifera Indica (Mango) Seed Oil, Vitis Vinifera (Grape) Seed Oil, Lonicera Japonica (Honeysuckle) Flower Extract, Laminara Cloustoni (Sea Kelp) Extract, Salvia Officinalis (Sage) Leaf Extract, Macadamia Ternifolia (Macadamia) Seed Oil, Vitis Vinifera (Grape) Seed Extract, Urtica Dioica (Nettle) Extract, Hydrolyzed Silk, Silk Amino Acids, Hexapeptide-11, Betaine, Hexylene Glycol, Saccharum Officinarum (Sugar Cane) Extract, Citrus Limon (Lemon) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Camellia Sinensis (Green Tea) Leaf Extract, Fragrance, Octyl Methoxycinnamate, Phenoxyethanol, Ethylhexylglycerin."
https://www.target.com/c/textured-hair-care/leave-in-conditioners/-/N-4rsrfZcrx6h?type=products&Nao=0,Creme of Nature,Creme of Nature Strength & Shine Leave-In Conditioner with Argan Oil - 8.4 fl oz,"Ingredients: Aqua (Water) (Eau), Cyclopentasiloxane, Dimethicone, Peg-12 Dimethicone, Polyquaternium-6, Disiloxane, Lactic Acid, Dimethiconol, Phenyl Trimethicone, Argania Spinosa Kernel Oil, Polyquaternium-16, Cocodimonium Hydroxypropyl Hydrolyzed Keratin, Cocodimonium Hydroxypropyl Hydrolyzed Wheat Protein, Hydrolyzed Wheat Protein Pg-Propyl Silanetriol, Panthenol, Benzophenone-4, Parfum (Fragrance), Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde, Imidazolidinyl Urea, Ci 19140 (Yellow 5), Ci 14700 (Red 4)"
https://www.target.com/c/textured-hair-care/leave-in-conditioners/-/N-4rsrfZcrx6h?type=products&Nao=0,Curls,Curls Blueberry Bliss Curl Control Paste - 4 fl oz,"Ingredients: Water, Ceteareth-25, Peg-7 Glyceryl Cocoate, Vegetable Glycerin, Peg-40 Hydrogenated Castor Oil, Keratin, Hydrolyzed Quinoa, Silk Amino Acids, Vaccinium Angustifolium (Blueberry) Fruit Extract, Butyrospermum Parkii (Shea Butter), Mangifera Indica (Mango) Seed Butter, Argania Spinosa (Argan) Kernel Oil, Oenothera Biennis (Evening Primrose) Oil, Jojoba Esters, Hydroxypropyltrimonium Hydrolyzed Corn Starch, Tocopheryl Acetate, Tetrahexyldecyl Ascorbate, Potassium Sorbate, Phenoxyethanol, Fragrance, Blue 1, Red 33"
https://www.target.com/c/textured-hair-care/leave-in-conditioners/-/N-4rsrfZcrx6h?type=products&Nao=0,Alikay Naturals,Alikay Naturals Lemon Grass Leave-In Conditioner - 16 fl oz,"Ingredients: Water (Aqua), Aloe Barbadensis Leaf Juice(Aloe Vera Juice), Cetearyl Alcohol (Coconut Derived), Stearalkonium Chloride (Coconut Derived), Silk Amino Acids (Natural Protein), Vegetable Glycerin, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Triticum Vulgare (Wheat) Germ Oil, Cymbopogon Flexosus (Lemongrass) Oil Extract, Behentrimonium Methosulfate (Natural Detangling Agent), Sorbic Acid (Food Grade Preservative), Fragrance (Parfum), Color Additives, Botanical Blend"
https://www.target.com/c/textured-hair-care/leave-in-conditioners/-/N-4rsrfZcrx6h?type=products&Nao=0,Emerge Hair Care,Emerge Your Mane Bestie Leave-In Conditioner - 15 fl oz,"Ingredients: Water. Cetearyl Alcohol, Helianthus Annuus (Sunflower) Seed Oil, Behentrimonium Methosulfate, Cetyl Alcohol, Caryocar Brasiliense (Pequi) Fruit Oil, Prunus Amygdalus Dulcis (Sweet Almond) Fruit Extract, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Glycerin (Vegetable), Zea Mays (Corn) Starch, Hydroxypropyltrimonium Hydrolyzed Corn Starch, Tocopherol, Xanthan Gum, Polyglyceryl-4 Caprate, Phenoxyethanol, Fragrance"
https://www.target.com/c/textured-hair-care/leave-in-conditioners/-/N-4rsrfZcrx6h?type=products&Nao=0,The Doux,The Doux We want Easy Texture Tames Leave-In Conditioner & Smoothing Lotion - 8 fl oz,"Ingredients: Water, Glycerin, Methyl Gluceth-20, Propylene Glycol, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Persea Gratissima (Avocado) Oil, Butyrospermum Parkii (Shea Butter), Olea Europea (Olive) Fruit Oil, Polyquaterniuim-32, Paraffinum Liquidum, Ppg-1 Trideceth-6, Cyclopentasiloxane, Dimethicone, Phenoxyethanol, Caprylyl Glycol, Citric Acid, Hydrolyzed Wheat Protein, Chamomilla Recutita (Matricaria) Flower Extract, , Aloe Barbadensis Leaf Juice, Rosmarinus Officinalis (Rosemary) Leaf Extract, Calendula Officinalis Flower Extract, Tocopheryl Acetate, Panthenol, Silk Amino Acid, Disodium Edta, Fragrance."
https://www.target.com/c/textured-hair-care/leave-in-conditioners/-/N-4rsrfZcrx6h?type=products&Nao=0,SheaMoisture,SheaMoisture Red Palm Oil & Cocoa Butter Rinse Out or Leave In Conditioner - 13 fl oz,"Water, Butyrospermum Parkii (Shea) Butter*~, Stearyl Alcohol, Cetyl Alcohol, Behentrimonium Chloride, Elaeis Guineensis (Palm) Oil, Panthenol, Fragrance (Essential Oil Blend), Cetrimonium Chloride, Caprylic/Capric Triglyceride, Hydroxyethylcellulose, Glycerin (Vegetable), Theobroma Cacao (Cocoa) Seed Butter, Equisetum Arvense Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Linum Usitatissimum (Linseed) Seed Oil, Camellia Sinensis (Green Tea) Leaf Extract, Aloe Barbadensis Leaf Juice, Tocopherol, Sodium Benzoate, Triethyl Citrate, Caprylyl Glycol, Benzoic Acid"
https://www.target.com/c/textured-hair-care/leave-in-conditioners/-/N-4rsrfZcrx6h?type=products&Nao=0,TGIN,TGIN Miracle Repairx Protective Leave-In Conditioner - 13 fl oz,"Ingredients: Water, Raw Black Honey, Cocos Nucifera (Coconut) Oil, Agave Americana Leaf (Agave) Extract, Carica Papaya Fruit (Papaya) Extract, Ginger Root (Ginger) Extract, Gardenia Tahitensis (Monoi) Flower Extract, Euterpe Oleracea (Acai) Fruit Extract, Sclerocarya Birrea (Marula) Seed Oil, Camellia Sinensis Leaf (Green Tea) Extract, Butyrospermum Parkii (Shea Butter), Theobromagrandiflorum (Cupuacu) Butter, Argania Spinosa (Argan) Kernel Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Propanediol, Cetearyl Alcohol, Cetyl Alcohol, Dimethicone, Behentrimonium Methosulfate, Phenoxyethanol, Capryl Glycol, Disodium Edta, Rosemary Extract, Pathenol (Pro Vitamin B5), Tocopheryl Acetate (Vitamin E), Fragrance."
https://www.target.com/c/textured-hair-care/leave-in-conditioners/-/N-4rsrfZcrx6h?type=products&Nao=0,Cantu,Cantu Argan Oil Leave-In Conditioning Repair - 16oz,"Water, Cetearyl Alcohol, Canola Oil, Glycerin, Polyquaternium-37, Fragrance (Parfum), Cetyl Alcohol, Argania Spinsosa (Argan) Oil, Propylene Glycol Dicaprylate/Dicaprate, Dicetyldimonium Chloride, Behentrimonium Methosulfate, Stearyl Alcohol, Butyrospermum Parkii (Shea) Butter, Dimethicone, Isopropyl Alcohol, Ppg-1 Trideceth-6, Phenoxyethanol, Ethylhexylglycerin, Polyquaternium-10, Disodium Edta, Citric Acid, Sodium Chloride, Olea Europaea (Olive) Fruit Oil, Trisodium Hedta, Sodium Ferrocyanide, Benzyl Alcohol, Linalool, D-Limonene."
https://www.target.com/c/textured-hair-care/leave-in-conditioners/-/N-4rsrfZcrx6h?type=products&Nao=0,Curl Dynasty,Curls Dynasty Kala Hari Smoothie Leave In - 8oz,"Ingredients: Organic Aloe Juice Infused With Organic Green Tea And Pineapple Fruit Extract, Organic Coconut Oil, Shea Butter, Behentrimonium Methosulfate, Cetearyl Alcohol, Organic Soybean Oil, Kalahari Seed Extract, Hydrolyzed Silk, Phenoxyethanol, Benzoic Acid, Dehydroacetic Acid, Citric Acid, Fragrance."
https://www.target.com/c/textured-hair-care/leave-in-conditioners/-/N-4rsrfZcrx6h?type=products&Nao=0,The Mane Choice,The Mane Choice Green Apple Kids Leave In Conditioner - 8 fl oz,"Aqua (Purified Water), Cetyl Alcohol (Derived From Coconut), Behentrimonium Methosulfate (Non-Sulfate Derived From Rapeseed Oil), Linoleic Acid (Vitamin F), Pyrus Malus (Apple) Fruit Extract, Aloe Barbadensis (Aloe Vera) Leaf Juice, Hylocereus Undatus (Dragon Fruit) Extract, Sodium Pca (Derived From Amino Acid), Prunus Armeniaca (Apricot) Kernel Oil, Equisetum Hiemale (Horsetail) Extract, Apium Graveolens (Celery) Seed Extract, Ulmus Fulva (Slippery Elm) Extract, Ricinus Communis (Castor) Seed Oil, Persea Gratissima (Avocado) Oil, Tocopheryl Acetate (Vitamin E), Marshmallow (Althaea Officinalis) Root Extract, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Biotin, Chamomilla Recutita (Matricaria) Flower Extract, Dehydroacetic Acid, Fragrance (Essential Oil Blend), Green 5, Yellow 5"
https://www.target.com/c/textured-hair-care/leave-in-conditioners/-/N-4rsrfZcrx6h?type=products&Nao=0,Cantu,Cantu Shea Butter Natural Leave-In Conditioning Cream - 12 fl oz,"Ingredients: Aqua (Water), Canola Oil, Cetyl Alcohol, Butyrospermum Parkii (Shea) Butter, Stearyl Alcohol, Cetearyl Alcohol, Stearamidopropyl Dimethylamine, Glycerin, Ceteareth-20, Phenoxyethanol, Parfum (Fragrance), Lactic Acid, Ethylhexylglycerin, Polyquaternium-4, Panthenol, Olea Europaea (Olive) Fruit Oil, Cocos Nucifera (Coconut) Oil, Glycine Soja (Soybean) Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Mangifera Indica (Mango) Seed Butter, Argania Spinosa Kernel (Argan) Oil, Melia Azadirachta (Neem) Seed Oil, Mangifera Indica (Mango) Seed Oil, Macadamia Ternifolia (Macadamia) Seed Oil, Vitis Vinifera (Grape) Seed Oil, Persea Gratissima (Avocado) Oil, Maltodextrin, Aloe Barbadensis (Aloe Vera) Leaf Juice (Decolorized), Hydrolyzed Silk, Saccharum Officinarum (Sugar Cane) Extract, Citrus Limon (Lemon) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Camellia Sinensis (Green Tea) Leaf Extract, Laminaria Digitata (Algae) Extract, Salvia Officinalis (Sage) Leaf Extract, Urtica Dioica (Nettle) Extract, Lonicera Caprifolium (Honeysuckle) Extract, Benzyl Benzoate, Coumarin, Hexyl Cinnamal."
https://www.target.com/c/textured-hair-care/leave-in-conditioners/-/N-4rsrfZcrx6h?type=products&Nao=24,Eden Body Works,Eden BodyWorks Almond Marshmallow Therapy Leave In Conditioner - 8 fl oz,"Ingredients: Water (Aqua), Prunus Amygdalus Dulcis (Sweet Almond) Oil, Glycerin, Fragrance (Parfum), Althaea Officinalis (Marshmallow) Root Extract, Aloe Barbadensis (Aloe Vera) Leaf Juice, Hydrolyzed Adansonia Digitata Seed Extract, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Panthenol, Propylene Glycol Dibenzoate, Prunus Armeniaca (Apricot) Kernel Oil, Squalane, Theobroma Cacao (Cocoa) Seed Butter, Tocopheryl Acetate, Polysorbate 60, Benzyl Alcohol, Dehydroacetic Acid, Maltol, Nerolidol, Limonene, Linalool"
https://www.target.com/c/textured-hair-care/leave-in-conditioners/-/N-4rsrfZcrx6h?type=products&Nao=24,Cantu,Cantu Care For Kids Leave-In Conditioner - 10oz,"Water, Cetyl Alcohol, Glycerin, Glyceryl Stearate, Behentimonium Chloride, Butyrospermum Parkii (Shea Butter), Cocos Nuceifera (Coconut) Oil, Persea Gratissima (Avocado) Oil, Olea Europaea (Olive) Fruit Oil, Bambus Vulgaris Extract, Honey, Hydroxypropyl Guar, Guar Gum, Panthenol (Vitamin B5), Cetrimonium Chloride, Disodium Edta, Phenoxyethanol, Ethylhexylglycerin, Citric Acid."
https://www.target.com/c/textured-hair-care/leave-in-conditioners/-/N-4rsrfZcrx6h?type=products&Nao=24,ections,SheaMoisture Raw Shea Butter Extra-Moisture Detangler - 8 fl oz,"Glycerin (Vegetable), Water, Propanediol, Cetearyl Alcohol, Behentrimonium Methosulfate, Butyrospermum Parkii (Shea) Butter, Argania Spinosa Kernel Oil, Macrocystis Pyrifera (Kelp) Extract, Althaea Officinalis Root Extract, Ulmus Fulva (Slippery Elm) Bark Extract, Panthenol, Fragrance (Essential Oil Blend)"
https://www.target.com/c/textured-hair-care/leave-in-conditioners/-/N-4rsrfZcrx6h?type=products&Nao=24,Mielle Organics,Mielle Moisture RX Hawaiian Ginger Moisturizing Leave In Conditioner - 12oz,"Ingredients: Water (Aqua, Eau), Glycerin (Vegetable), Behentrimonium Methosulfate, Cetearyl Alcohol, Stearyl Alcohol, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Cetyl Alcohol, Triethyl Citrate, Ceteareth-20, Persea Gratissima (Avocado) Oil, Sesamum Indicum (Sesame) Seed Oil, Olea Europaea (Olive) Fruit Oil, Phenoxyethanol, Caprylyl Glycol, Fragrance (Parfum), Zingiber Officinale (Ginger) Root Oil, Chamomilla Recutita (Matricaria) Flower Extract, Vaccinium Myrtillus Fruit Extract, Saccharum Officinarum (Sugar Cane) Extract, Acer Saccharinum (Sugar Maple) Extract & Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Limon (Lemon) Fruit Extract"
